freq,tra_type,c_load,nst07,unit,geo\TIME_PERIOD	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,HIRE,AT,GT08,THS_T,BG	: u	: 	: 	: 	: 	: u	: 	: 	: 	: u	: u	: 	: 	: 	: 
A,HIRE,AT,GT08,THS_T,CH	70 	127 	: u	: u	: u	: u	53 	: u	: u	: u	: 	: 	: 	: u	: 
A,HIRE,AT,GT08,THS_T,CZ	130 	151 	179 	219 	123 	168 	151 	115 	93 	90 	100 	: u	118 	144 	81 
A,HIRE,AT,GT08,THS_T,DE	397 	454 	519 	465 	412 	469 	340 	369 	380 	383 	336 	419 	354 	264 	299 
A,HIRE,AT,GT08,THS_T,DK	: 	: u	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,AT,GT08,THS_T,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 
A,HIRE,AT,GT08,THS_T,EL	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 
A,HIRE,AT,GT08,THS_T,ES	: u	: 	: 	: u	: u	: u	: 	: u	: 	: 	: u	: 	: 	: u	: u
A,HIRE,AT,GT08,THS_T,FR	: 	: 	: u	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 
A,HIRE,AT,GT08,THS_T,HR	62 	: u	39 	70 	56 	38 	36 	: u	34 	52 	50 	59 	: u	64 	: u
A,HIRE,AT,GT08,THS_T,HU	192 	171 	123 	137 	117 	148 	171 	194 	63 	82 	83 	80 	59 	41 	84 
A,HIRE,AT,GT08,THS_T,IT	: u	449 	684 	406 	: u	: u	233 	166 	: u	150 	271 	250 	155 	: u	221 
A,HIRE,AT,GT08,THS_T,LI	: u	: u	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,AT,GT08,THS_T,LT	: u	: u	: u	: 	: u	: 	: u	: u	: 	: u	: u	: 	: u	: 	: 
